geometry,EMERGENCIA,AREA_HA,SHAPE_Length,SHAPE_Area_left,RULEID,index_right,DeCodigo,DeNombre,DeArea,DeNorma,SHAPE_Leng,SHAPE_Area_right
POINT (-71.58764335006423 5.8792982456168605),Inundación,124.021564951,0.06256163547,0.0001010844,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.49671084038499 5.882168877939711),Inundación,25.5347493633,0.02390997271,2.080942e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.8014534574625 5.882624274440005),Inundación,41.2723993902,0.03345307908,3.364988e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.05205677586589 5.881771484935465),Inundación,28.1330423499,0.02519341735,2.290952e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.40335782005222 5.885240125596355),Inundación,43.2729944898,0.02884203228,3.52787e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.0267421352564 5.883031711347659),Inundación,35.1895137419,0.02494012517,2.865453e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.48538427477197 5.885622505622011),Inundación,32.4447698467,0.03127691685,2.644039e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.97314844632089 5.878731824806048),Inundación,118.106321975,0.0690737957,9.616262e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.29066118309763 5.885017007631952),Inundación,51.3131362217,0.03651458678,4.180355e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.84187366724561 5.9035048717979866),Inundación,"1,467.18210925",1.68221326329,0.00119631974,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.4386384434176 5.88669984974705),Inundación,43.4184176046,0.03382059763,3.538065e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.35760894122807 5.887179664882033),Inundación,32.6609596254,0.02868892359,2.661116e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.72603812148276 5.8878103163805005),Inundación,90.8726799333,0.03677023244,7.404901e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.66137989406077 5.890335759095664),Inundación,107.862029576,0.05959105298,8.790247e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-70.87333584236532 5.889305233556492),Inundación,39.0808415406,0.03410203557,3.181428e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.54320407426177 5.887942590984693),Inundación,103.060717004,0.08833758012,8.399574e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.51578932068263 5.891627657516502),Inundación,47.003735326,0.04226594741,3.831442e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-76.40121226560714 5.895355328615672),Inundación,26.6880111843,0.02240970213,2.175809e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.65730565722859 5.894933387163773),Inundación,46.3106985042,0.04658767554,3.775073e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.62411427386549 5.8804630357470975),Inundación,413.867368977,0.18693280993,0.00033734383,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.56875266966897 5.89811964444897),Inundación,39.7074159503,0.0285657954,3.236387e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.61386615420092 5.897430794610078),Inundación,36.2817783797,0.03418028333,2.957375e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.55922653302989 5.893210748332426),Inundación,120.640206239,0.08681068028,9.832656e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.79693990072258 5.897472725767697),Inundación,31.0116577373,0.02916668965,2.526784e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.3621435505907 5.896599744765476),Inundación,66.8079442022,0.05957032925,5.443441e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.64735350155983 5.897581353162178),Inundación,114.59319342,0.06395565482,9.339129e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.6650360148447 5.899961503224479),Inundación,32.266229592,0.03085544319,2.630274e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.6437872362315 5.898954008016282),Inundación,106.866197543,0.05159064913,8.711216e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.52581997231853 5.898800567148185),Inundación,110.897979808,0.08091389698,9.03825e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.84359254910801 5.892560056393567),Inundación,234.735021465,0.12183221748,0.00019107914,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.78324137053885 5.8997284366764475),Inundación,36.9520579599,0.03633766958,3.010879e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.06442047245875 5.895931685102178),Inundación,86.675337208,0.06607985629,7.05855e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.40356199147662 5.903940789468618),Inundación,47.5552935886,0.03806354565,3.877115e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.71287393698697 5.907333506417237),Inundación,28.1021209425,0.02783098857,2.291013e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-72.15029787226518 5.900214420397873),Inundación,112.917141194,0.22786639004,9.210652e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.69723776169154 5.8882055203754815),Inundación,"1,254.54434127",0.49729490936,0.00102270435,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.7128912087789 5.906367613875133),Inundación,27.622679189,0.02063921271,2.250998e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.09283576157584 5.9030355509572345),Inundación,52.9848309656,0.03678620329,4.315185e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.90089910066891 5.904536933865768),Inundación,50.4702044518,0.03559430846,4.108924e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.64247102039973 5.908251351316464),Inundación,92.0528597974,0.06320002395,7.502332e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-71.66213453836507 5.909895162514703),Inundación,33.9241918023,0.03216895771,2.765464e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-74.51657136861688 5.9160721342334215),Inundación,40.1942304922,0.02290406815,3.282241e-05,1,14.0,15,['Boyacá'],23057.4616122,Constitución Política de Colombia 1886,1768654.28263,23057461612.2
POINT (-71.63204179968277 5.909172547798312),Inundación,31.0915923792,0.03433841957,2.534438e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-74.36040764995806 5.905614297189532),Inundación,169.684615814,0.13022154396,0.00013856582,1,14.0,15,['Boyacá'],23057.4616122,Constitución Política de Colombia 1886,1768654.28263,23057461612.2
POINT (-70.88532183791389 5.901199099014863),Inundación,253.594133734,0.1442369265,0.00020645081,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-76.6653401705935 5.913245958515266),Inundación,36.4633528203,0.03992774308,2.971693e-05,1,18.0,27,['Chocó'],48428.3157863,Ley No. 13 de 1947,2288206.77192,48428315786.3
POINT (-70.69686340268254 5.907415803335697),Inundación,76.5468586451,0.05825135673,6.229399e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-75.75914088593761 5.917336554498247),Inundación,35.6116956321,0.02696261389,2.905716e-05,1,13.0,05,['Antioquia'],62785.8059101,Constitución Política de Colombia 1886,2358396.04232,62785805910.1
POINT (-71.69921168584864 5.915335825542251),Inundación,35.1137612821,0.02780581626,2.862618e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-74.55651193921581 5.9223601329613595),Inundación,26.4775614361,0.02290021541,2.162145e-05,1,14.0,15,['Boyacá'],23057.4616122,Constitución Política de Colombia 1886,1768654.28263,23057461612.2
POINT (-71.71569090659851 5.9162455156025215),Inundación,28.6863892682,0.02145980596,2.338692e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.38788671123132 5.916588715186515),Inundación,27.6483167201,0.02266291313,2.25293e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.39704612509176 5.890729036540179),Inundación,"1,330.49198666",0.56077413501,0.00108412152,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.44275146664826 5.916395749454769),Inundación,42.4412770938,0.03626913889,3.458644e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.52203515968142 5.917641296705634),Inundación,31.4669291155,0.04220480916,2.564643e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.46095740409062 5.9158471970508195),Inundación,35.6328622317,0.03568399257,2.903891e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-71.31907252408055 5.916891822546466),Inundación,35.3100882071,0.03113523872,2.876926e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
POINT (-70.99304695272315 5.9148398949316325),Inundación,43.2651654359,0.03831247997,3.523023e-05,1,10.0,85,['Casanare'],44267.0440324,Constitución Política de Colombia 1991,1342605.99647,44267044032.4
